dist,region,reg_prop,2020_pop,pop_pct,2025_dif,2025_pop,2030_dif,2030_pop,2035_dif,2035_pop,2040_dif,2040_pop,2045_dif,2045_pop,2050_dif,2050_pop,2055_dif,2055_pop,2060_dif,2060_pop,2065_dif,2065_pop,2070_dif,2070_pop,2075_dif,2075_pop,2080_dif,2080_pop,2085_pop,2085_pop,2090_dif,2090_pop,2095_dif,2095_pop,2100_dif,2100_pop,current_urban_pix,total_pix,gdd,2050_urbpix
Atiwa West,BONO EAST,Bono East,76871,0.25,11729,88600,19431,96302,28529,105400,36367,113238,45604,122475,52832,129703,61329,138200,67433,144304,75004,151875,80049,156920,86729,163600,90627,167498,96129,173000,98574,175445,102754,179625,103988,180859,10510,651452,10.7,
Atwima Kwanwoma,EASTERN,Eastern,112321,0.36,15263,127584,28392,140713,39455,151776,53139,165460,64043,176364,77196,189517,86687,199008,98531,210852,106379,218700,116964,229285,123263,235584,132421,244742,136799,249120,144033,256354,146339,258660,151943,264264,45248,279454,3.3,
Atwima Mponua,EASTERN,Eastern,147829,0.48,22283,170112,37368,185197,54539,202368,69937,217766,87323,235152,101599,249428,117515,265344,129680,277509,143771,291600,153940,301769,166283,314112,174284,322113,184331,332160,189566,337395,197051,344880,199976,347805,23283,2091388,3.4,
Atwima Nwabiagya North,ASHANTI,Ashanti,78113,0.25,10487,88600,19745,97858,27287,105400,36955,115068,44362,122475,53685,131798,60087,138200,68523,146636,73762,151875,81342,159455,85487,163600,92092,170205,94887,173000,100167,178280,101512,179625,105668,183781,23614,312570,4.5,
Atwima Nwabiagya South,ASHANTI,Ashanti,106569,0.34,13927,120496,26938,133507,36775,143344,50417,156986,59997,166566,73242,179811,81383,187952,93485,200054,99981,206550,110974,217543,115927,222496,125640,232209,128711,235280,136657,243226,137721,244290,144162,250731,39581,330949,,
Awutu Senya,ASHANTI,Ashanti,102772,0.33,14180,116952,25979,128751,36356,139128,48621,151393,58895,161667,70633,173405,79652,182424,90155,192927,97703,200475,107020,209792,113180,215952,121164,223936,125588,228360,131788,234560,134333,237105,139025,241797,11243,272019,11.4,
Awutu Senya East,ASHANTI,Ashanti,128332,0.41,16972,145304,32440,160772,44524,172856,60713,189045,72527,200859,88200,216532,98316,226648,112577,240909,120743,249075,133637,261969,139972,268304,151298,279630,155388,283720,164564,292896,166253,294585,173602,301934,41959,120188,4.3,
Ayawaso Central,CENTRAL,Central,179422,0.58,26130,205552,45354,224776,65106,244528,84884,264306,104720,284142,123313,302735,141202,320624,157394,336816,172928,352350,186839,366261,200130,379552,211531,390953,221938,401360,230078,409500,237308,416730,242714,422136,6555,6555,16.1,
Ayawaso East,CENTRAL,Central,105546,0.34,14950,120496,26680,132226,37798,143344,49933,155479,61020,166566,72539,178085,82406,187952,92588,198134,101004,206550,109909,215455,116950,222496,124434,229980,129734,235280,135345,240891,138744,244290,142778,248324,3963,4100,31.7,
Ayawaso North,GREATER ACCRA,Greater Accra,125789,0.41,19515,145304,31797,157586,47067,172856,59510,185299,75070,200859,86452,212241,100859,226648,110346,236135,123286,249075,130989,256778,142515,268304,148300,274089,157931,283720,161303,287092,168796,294585,170162,295951,2367,2378,37.7,
Ayawaso West,GREATER ACCRA,Greater Accra,89225,0.29,13551,102776,22554,111779,33039,122264,42212,131437,52846,142071,61322,150547,71087,160312,78271,167496,86950,176175,92913,182138,100551,189776,105192,194417,111455,200680,114416,203641,119140,208365,120700,209925,34880,49526,2.8,
Ayensuano,GREATER ACCRA,Greater Accra,97300,0.31,12564,109864,24595,121895,33396,130696,46032,143332,54569,151869,66872,164172,74068,171368,85354,182654,91025,188325,101322,198622,105564,202864,114712,212012,117220,214520,124771,222071,125435,222735,131623,228923,9873,555294,2.6,
Banda,GREATER ACCRA,Greater Accra,25717,0.08,2635,28352,6501,32218,8011,33728,12167,37884,13475,39192,17675,43392,18507,44224,22560,48277,22883,48600,26780,52497,26635,52352,30319,56036,29643,55360,32978,58695,31763,57480,34789,60506,6460,2551760,19,
Bawku,EASTERN,Eastern,122641,0.4,19119,141760,31001,153642,45999,168640,58021,180662,73319,195960,84288,206929,98479,221120,107584,230225,120359,243000,127711,250352,139119,261760,144588,267229,154159,276800,157266,279907,164759,287400,165903,288544,13748,275198,8.5,
Bawku West,BONO,Bono,117036,0.38,17636,134672,29584,146620,43172,160208,55369,172405,69126,186162,80436,197472,93028,210064,102667,219703,113814,230850,121874,238910,131636,248672,137980,255016,145924,262960,150079,267115,155994,273030,158321,275357,7092,1191956,,
Bekwai,UPPER EAST,Upper East,146213,0.47,20355,166568,36959,183172,51939,198152,69173,215386,84040,230253,100489,246702,113603,259816,128262,274475,139312,285525,152257,298470,161355,307568,172379,318592,179027,325240,187493,333706,191482,337695,197790,344003,24706,594824,,
Berekum East,UPPER EAST,Upper East,117534,0.38,17138,134672,29710,147244,42674,160208,55605,173139,68628,186162,80778,198312,92530,210064,103104,220638,113316,230850,122393,239927,131138,248672,138567,256101,145426,262960,150717,268251,155496,273030,158995,276529,22285,514285,2.1,
Berekum West,ASHANTI,Ashanti,46565,0.15,6595,53160,11771,58336,16675,63240,22030,68595,26920,73485,32003,78568,36355,82920,40848,87413,44560,91125,48490,95055,51595,98160,54898,101463,57235,103800,59712,106277,61210,107775,62991,109556,10508,443833,3.5,
Bia East,BONO,Bono,36505,0.12,6023,42528,9228,45733,14087,50592,17270,53775,22283,58788,25089,61594,29831,66336,32023,68528,36395,72900,38014,74519,42023,78528,43038,79543,46535,83040,46811,83316,49715,86220,49382,85887,4810,869273,24.7,
Bia West,BONO,Bono,118618,0.38,16054,134672,29984,148602,41590,160208,56118,174736,67544,186162,81523,200141,91446,210064,104055,222673,112232,230850,123521,242139,130054,248672,139845,258463,144342,262960,152107,270725,154412,273030,160461,279079,12800,1427921,,
Biakoye,WESTERN NORTH,Western North,82677,0.27,13011,95688,20899,103576,31155,113832,39114,121791,49596,132273,56822,139499,66579,149256,72527,155204,81348,164025,86095,168772,94011,176688,97472,180149,104163,186840,106019,188696,111318,193995,111842,194519,14056,1231842,,
Bibiani Anhwiaso Bekwai,WESTERN NORTH,Western North,164652,0.53,23180,187832,41620,206272,58796,223448,77896,242548,94995,259647,113162,277814,128332,292984,144438,309090,157323,321975,171458,336110,182180,346832,194117,358769,202108,366760,211138,375790,216153,380805,222734,387386,26521,925769,2.9,
Binduri,OTI,Oti,76641,0.25,11959,88600,19373,96014,28759,105400,36259,112900,45834,122475,52674,129315,61559,138200,67232,143873,75234,151875,79809,156450,86959,163600,90356,166997,96359,173000,98279,174920,102984,179625,103676,180317,3185,436185,26.9,
